Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
9:50 p.m. to 9:54 p.m.,454,693,836,,0,387,3800,531,653
9:55 p.m. to 9:59 p.m.,411,663,27,0,1690,406,946,834,636
10:00 p.m. to 10:04 p.m.,352,878,606,,630,528,1117,944,539
10:05 p.m. to 10:09 p.m.,585,797,362,,0,314,0,697,796
10:10 p.m. to 10:14 p.m.,486,1032,536,810,,823,1367,551,720
10:15 p.m. to 10:19 p.m.,452,953,214,,1164,320,104,567,757
10:20 p.m. to 10:24 p.m.,474,826,1428,,,361,1910,554,841
10:25 p.m. to 10:29 p.m.,416,938,219,,1190,374,0,1309,771
10:30 p.m. to 10:34 p.m.,520,816,836,0,1190,497,2500,593,623
10:35 p.m. to 10:39 p.m.,388,712,314,,,651,,629,463
10:40 p.m. to 10:44 p.m.,430,505,1106,,1169,683,0,951,541
10:45 p.m. to 10:49 p.m.,393,721,621,,,597,0,548,704
10:50 p.m. to 10:54 p.m.,361,831,251,1902,0,462,0,581,268
10:55 p.m. to 10:59 p.m.,563,714,648,,,395,0,605,505
11:00 p.m. to 11:04 p.m.,462,668,229,,,603,500,733,687
11:05 p.m. to 11:09 p.m.,479,866,927,,,296,,809,612
11:10 p.m. to 11:14 p.m.,404,915,0,,0,454,,482,753
11:15 p.m. to 11:19 p.m.,468,692,1578,,2335,229,206,429,920
11:20 p.m. to 11:24 p.m.,455,766,0,,570,487,,877,667
11:25 p.m. to 11:29 p.m.,532,827,0,,,469,,245,646
11:30 p.m. to 11:34 p.m.,588,486,0,,,623,,602,739
11:35 p.m. to 11:39 p.m.,459,629,0,,,431,,936,361
11:40 p.m. to 11:44 p.m.,568,949,0,,,988,550,1225,535
11:45 p.m. to 11:49 p.m.,509,660,181,,678,0,,1103,818
11:50 p.m. to 11:54 p.m.,372,948,0,,,753,1660,581,459
11:55 p.m. to 11:59 p.m.,245,760,3394,,,0,,789,1192
