Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: PWGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
4:00 p.m. to 4:04 p.m.,30208,30534,24370,,28597,38368,28917,29377,30163
4:05 p.m. to 4:09 p.m.,22987,28375,15857,,32763,33868,18863,24495,23570
4:10 p.m. to 4:14 p.m.,23464,25369,20424,,15662,30381,71617,32257,21814
4:15 p.m. to 4:19 p.m.,23755,26599,23009,,22095,43430,64133,26608,24904
4:20 p.m. to 4:24 p.m.,31258,29624,25991,10700,16500,66995,13947,28456,33068
4:25 p.m. to 4:29 p.m.,30145,31298,7365,,98000,26144,,22172,21963
4:30 p.m. to 4:34 p.m.,35931,32399,34318,1833,15816,42878,43062,30261,30815
4:35 p.m. to 4:39 p.m.,33941,30045,36168,2500,2300,34268,32969,34248,22612
4:40 p.m. to 4:44 p.m.,29862,31839,30979,52000,21813,45077,98000,28910,28924
4:45 p.m. to 4:49 p.m.,31611,27402,31768,,21083,29300,44873,25491,24733
4:50 p.m. to 4:54 p.m.,26623,25078,73535,,26036,55593,42671,22621,22983
4:55 p.m. to 4:59 p.m.,26015,23719,19185,43870,0,22318,38919,18159,25521
5:00 p.m. to 5:04 p.m.,33119,32888,18154,14000,45854,60683,54153,31949,30006
5:05 p.m. to 5:09 p.m.,24708,21576,32588,36214,9700,31887,4500,22577,21225
5:10 p.m. to 5:14 p.m.,27418,23879,26394,,62000,43043,84000,33890,22812
5:15 p.m. to 5:19 p.m.,31527,31985,19523,,33526,34939,26049,34395,25786
5:20 p.m. to 5:24 p.m.,40545,41066,60234,,76000,35834,18408,25764,34339
5:25 p.m. to 5:29 p.m.,41132,29918,22772,,18225,31417,55000,29099,35645
5:30 p.m. to 5:34 p.m.,42330,35987,26662,,45369,54924,14371,33643,33865
5:35 p.m. to 5:39 p.m.,52753,41774,31491,,32000,32774,9000,31467,32507
5:40 p.m. to 5:44 p.m.,45161,32846,33152,,500,40849,40000,32461,38510
5:45 p.m. to 5:49 p.m.,44328,34076,35169,,20556,40738,10000,40906,36081
5:50 p.m. to 5:54 p.m.,43143,42951,32921,,,54723,42982,41419,33449
5:55 p.m. to 5:59 p.m.,36221,37443,35426,,1900,43706,49913,32285,34095
6:00 p.m. to 6:04 p.m.,43297,42635,41812,,0,44390,37732,28782,36752
6:05 p.m. to 6:09 p.m.,40012,37154,25475,,19200,34886,,29320,39948
6:10 p.m. to 6:14 p.m.,40215,34335,49120,15757,35100,41463,20913,30850,37398
6:15 p.m. to 6:19 p.m.,47923,38221,49772,,52758,54067,32709,35275,31894
6:20 p.m. to 6:24 p.m.,47898,49606,37702,55000,150000,56859,,26206,38998
6:25 p.m. to 6:29 p.m.,53002,47457,32194,,,77746,40000,38209,56204
6:30 p.m. to 6:34 p.m.,57183,45870,43844,24402,,56350,0,38071,48686
6:35 p.m. to 6:39 p.m.,53980,41435,51762,,,81812,31300,54733,52169
6:40 p.m. to 6:44 p.m.,52694,47656,37698,,90000,68575,38667,44913,45734
6:45 p.m. to 6:49 p.m.,52048,46917,39409,,28000,65546,24308,34412,42505
6:50 p.m. to 6:54 p.m.,59518,50126,28224,2800,110000,75888,33000,30358,46698
6:55 p.m. to 6:59 p.m.,50662,45746,32255,,,113452,30000,34439,40272
7:00 p.m. to 7:04 p.m.,49382,49310,52187,26225,14400,76997,28712,34098,42189
7:05 p.m. to 7:09 p.m.,34581,41191,32668,,,61558,,41943,35314
7:10 p.m. to 7:14 p.m.,43122,47508,47772,,,88013,39411,33863,38569
7:15 p.m. to 7:19 p.m.,50785,41077,28281,,53000,71758,7824,37076,37198
7:20 p.m. to 7:24 p.m.,45030,39760,37281,,7000,70613,11000,49691,61673
7:25 p.m. to 7:29 p.m.,55079,41775,64545,,,120806,50000,44476,46133
7:30 p.m. to 7:34 p.m.,50752,53118,27023,26600,7000,62157,12414,40830,28798
7:35 p.m. to 7:39 p.m.,49162,27290,43934,,20778,42699,50000,39029,29556
7:40 p.m. to 7:44 p.m.,56756,53253,45885,,30625,110792,20775,46588,40867
7:45 p.m. to 7:49 p.m.,59089,43214,33830,78000,0,74875,17000,33637,47216
7:50 p.m. to 7:54 p.m.,49731,39141,28809,,,51463,,34838,28202
7:55 p.m. to 7:59 p.m.,40829,45412,35769,,,58085,30000,39742,52069
8:00 p.m. to 8:04 p.m.,55081,39102,41812,,30000,57277,,44420,35738
8:05 p.m. to 8:09 p.m.,39566,38956,9300,,,33651,50000,37416,16759
8:10 p.m. to 8:14 p.m.,36493,32410,32216,,,49017,25000,27313,35535
8:15 p.m. to 8:19 p.m.,49679,41552,11699,,,46538,169726,38126,46050
8:20 p.m. to 8:24 p.m.,52170,43220,41453,,,51983,,27244,48941
8:25 p.m. to 8:29 p.m.,55963,33837,48810,,,48377,,25874,37211
8:30 p.m. to 8:34 p.m.,48143,44931,22812,,25000,45818,,37828,36127
8:35 p.m. to 8:39 p.m.,48125,34323,12000,,,83879,,31061,35032
8:40 p.m. to 8:44 p.m.,48117,43253,24720,,57368,47313,93000,30853,66125
8:45 p.m. to 8:49 p.m.,52805,37898,18004,,,45922,33000,31892,51075
8:50 p.m. to 8:54 p.m.,44673,36921,68019,,,71460,,30138,45273
8:55 p.m. to 8:59 p.m.,48548,45628,53454,,,51406,,36284,57953
9:00 p.m. to 9:04 p.m.,48078,44621,16945,7122,45000,52994,,34271,40773
9:05 p.m. to 9:09 p.m.,34578,30601,33853,,,28908,,38772,24559
9:10 p.m. to 9:14 p.m.,39198,32329,20647,,30000,27765,31299,34610,32606
9:15 p.m. to 9:19 p.m.,57163,37826,26285,,,52900,51752,36450,37791
9:20 p.m. to 9:24 p.m.,45490,43173,15513,700,,37489,34757,41567,34558
9:25 p.m. to 9:29 p.m.,53324,41709,29884,,,59359,42000,73853,33862
9:30 p.m. to 9:34 p.m.,51364,39593,49832,24000,41600,50265,41174,35457,44732
9:35 p.m. to 9:39 p.m.,43977,40599,32627,,,40868,33752,28772,30122
9:40 p.m. to 9:44 p.m.,43695,44332,30537,,26178,58527,16088,54693,46344
9:45 p.m. to 9:49 p.m.,43221,36547,40672,,16793,59205,46877,38738,41407
9:50 p.m. to 9:54 p.m.,43976,39149,25227,,24600,59475,24000,54743,45344
9:55 p.m. to 9:59 p.m.,38340,38838,30204,41600,0,33808,40869,26131,38563
10:00 p.m. to 10:04 p.m.,41811,40256,28886,,40000,40526,39152,32948,49992
10:05 p.m. to 10:09 p.m.,41053,35314,9633,,12206,83974,40800,34685,41605
10:10 p.m. to 10:14 p.m.,43610,36426,48155,11000,,41583,63000,40475,46115
10:15 p.m. to 10:19 p.m.,48601,37181,39906,,24678,41051,70239,53600,33075
10:20 p.m. to 10:24 p.m.,52471,38923,86461,,,36695,44100,48227,39439
10:25 p.m. to 10:29 p.m.,48332,46069,13945,,78000,44837,56888,36223,35347
10:30 p.m. to 10:34 p.m.,43983,42362,28256,26000,5000,53244,45000,28199,34363
10:35 p.m. to 10:39 p.m.,44820,35556,30491,,,49667,,26592,52322
10:40 p.m. to 10:44 p.m.,44957,47470,31967,,77574,52206,70000,29900,38196
10:45 p.m. to 10:49 p.m.,48795,44075,25424,,,64196,8000,45842,47939
10:50 p.m. to 10:54 p.m.,47717,33865,17698,24000,34600,48713,11805,31487,39672
10:55 p.m. to 10:59 p.m.,44702,42757,33161,,,39396,46000,30181,37287
11:00 p.m. to 11:04 p.m.,41905,40484,43318,,,67440,12000,37456,37973
11:05 p.m. to 11:09 p.m.,42018,43652,39638,,,45873,,42205,51019
11:10 p.m. to 11:14 p.m.,44885,38842,55947,,15000,68964,,33843,26047
11:15 p.m. to 11:19 p.m.,48201,40463,49675,,18000,62427,35861,26941,31492
11:20 p.m. to 11:24 p.m.,49918,42117,6000,,9300,53567,,29861,41226
11:25 p.m. to 11:29 p.m.,53351,40138,20000,,,31444,,44901,33033
11:30 p.m. to 11:34 p.m.,54193,64109,84986,,,50688,,47448,43113
11:35 p.m. to 11:39 p.m.,50376,39398,55200,,,55581,,26012,35941
11:40 p.m. to 11:44 p.m.,46334,46861,38000,,,49627,40000,33247,53417
11:45 p.m. to 11:49 p.m.,48948,39140,44938,,98000,31520,1000,28113,30871
11:50 p.m. to 11:54 p.m.,44573,47244,0,,,34420,46000,28965,45832
11:55 p.m. to 11:59 p.m.,38921,40189,93430,,,64284,,27783,39072
