Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
9:30 p.m. to 9:34 p.m.,41,41,51,22,25,39,40,38,36
9:35 p.m. to 9:39 p.m.,44,44,38,,,52,42,35,37
9:40 p.m. to 9:44 p.m.,40,41,38,,23,45,34,42,39
9:45 p.m. to 9:49 p.m.,42,40,45,,18,46,37,37,40
9:50 p.m. to 9:54 p.m.,40,42,34,,33,40,64,37,36
9:55 p.m. to 9:59 p.m.,41,39,38,20,55,41,44,35,35
10:00 p.m. to 10:04 p.m.,41,42,30,,48,43,35,40,37
10:05 p.m. to 10:09 p.m.,36,38,39,,43,40,52,36,35
10:10 p.m. to 10:14 p.m.,40,40,38,24,,43,62,44,36
10:15 p.m. to 10:19 p.m.,42,40,31,,21,39,24,39,38
10:20 p.m. to 10:24 p.m.,40,39,35,,,40,44,36,38
10:25 p.m. to 10:29 p.m.,41,43,43,,32,43,33,38,37
10:30 p.m. to 10:34 p.m.,41,43,33,21,20,43,49,41,40
10:35 p.m. to 10:39 p.m.,42,38,43,,,40,,44,41
10:40 p.m. to 10:44 p.m.,41,43,39,,37,43,67,37,37
10:45 p.m. to 10:49 p.m.,41,44,49,,,45,20,42,34
10:50 p.m. to 10:54 p.m.,42,40,35,20,22,49,38,40,39
10:55 p.m. to 10:59 p.m.,42,44,46,,,43,25,36,37
11:00 p.m. to 11:04 p.m.,40,41,39,,,48,21,35,39
11:05 p.m. to 11:09 p.m.,40,41,47,,,42,,39,40
11:10 p.m. to 11:14 p.m.,43,42,42,,66,50,,36,36
11:15 p.m. to 11:19 p.m.,42,44,34,,47,38,37,39,34
11:20 p.m. to 11:24 p.m.,42,42,39,,18,44,,43,39
11:25 p.m. to 11:29 p.m.,42,42,45,,,36,,35,37
11:30 p.m. to 11:34 p.m.,42,44,62,,,39,,43,36
11:35 p.m. to 11:39 p.m.,43,43,59,,,48,,45,37
11:40 p.m. to 11:44 p.m.,41,43,31,,,41,35,36,38
11:45 p.m. to 11:49 p.m.,42,41,59,,36,53,,33,33
11:50 p.m. to 11:54 p.m.,44,48,64,,,35,40,31,41
11:55 p.m. to 11:59 p.m.,44,41,34,,,40,,34,38
